"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"2501","21693896","S","SFD","6012 Aspen Meadow Dr","4906","$327,000","4","2","1","FranklnTP","ABBINGTON","1","2LEVL","ATTACH","2","2,771","No","2,771","102","MIHI01"
"2501","21722635","S","SFD","8852 Rowling Way","4906","$327,900","4","2","1","FranklnTP","VILLAGE AT NEW BETHEL","0","2LEVL","ATTACH","2","3,446","No","3,446","83","HMSR01"
"2501","21731689","S","SFD","5740 Lyster Ln","4906","$330,914","3","3","0","FranklnTP","ENCLAVE AT LYSTER LANE","0","2LEVL","ATTACH","2","2,557","No","2,557","4","HMSR01"
"2501","21750556","S","SFD","4768 Kintz Dr","4906","$332,735","6","2","0","FranklnTP","FOX HOLLOW","0","1LEVL","ATTACH","2","2,096","Yes","4,192","1","NBLC01"
"2501","21735402","S","SFD","4306 Indigo Run Dr","4906","$335,000","4","2","1","FranklnTP","INDIGO RUN","0","2LEVL","ATTACH","2","2,491","Yes","3,553","48","CESC02"
"2501","21751198","S","SFD","10805 Orchard Ln","4906","$339,584","5","3","1","FranklnTP","SAGEBROOK","0","2LEVL","ATTACH","2","3,152","No","3,152","1","HRLS01"
"2501","21742272","S","SFD","10842 Lost Creek Ct","4906","$344,540","3","2","0","FranklnTP","SAGEBROOK","0","1LEVL","ATTACH","2","2,000","Yes","3,500","214","NBLC01"
"2501","21715865","S","SFD","4705 Rocky Hollow Dr","4906","$344,575","4","2","1","FranklnTP","FOX HOLLOW","1","2LEVL","ATTACH","3","2,772","Yes","3,871","1","CESC02"
"2501","21739425","S","SFD","8142 Grassy Meadow Ln","4906","$344,900","4","2","1","FranklnTP","MEADOW BEND","1","2LEVL","ATTACH","3","3,144","Yes","4,512","27","MWRG01"
"2501","21738949","S","SFD","4416 Maldenhair Dr","4906","$349,000","5","3","0","FranklnTP","FOX HOLLOW","1","1LOFT","ATTACH","3","2,716","Yes","3,926","11","BHHS03"
"2501","21709788","S","SFD","4750 Kintz Dr","4906","$349,995","4","2","1","FranklnTP","FOX HOLLOW","0","2LEVL","ATTACH","3","2,607","Yes","3,637","70","CESC02"
"2501","21735012","S","SFD","4446 Maldenhair Dr","4906","$350,000","5","3","1","FranklnTP","FOX HOLLOW","1","2LEVL","ATTACH","3","3,336","Yes","4,878","29","TUCK16"
"2501","21714959","S","SFD","5735 Lyster Ln","4906","$352,773","3","3","0","FranklnTP","ENCLAVE AT LYSTER LANE","0","1HALF","ATTACH","2","2,397","No","2,397","2","HMSR01"
"2501","21715326","S","SFD","9848 Deep Royal Way","4906","$353,146","3","2","1","FranklnTP","INDIGO RUN","1","1HALF","ATTACH","2","2,186","Yes","3,515","3","HMSR01"
"2501","21731885","S","SFD","4332 Indigo Run Dr","4906","$353,666","4","2","2","FranklnTP","INDIGO RUN","1","2LEVL","ATTACH","2","2,556","Yes","3,536","4","HMSR01"
